Technology,Category,Version,Layer,Purpose,Importance Rank,Difficulty Rank
Python 3.11+,Language,3.11.11,Backend,Primary backend language for all three servers,2,14
Swift,Language,5.9,Native macOS,Native notch app and system integration,4,5
TypeScript,Language,5.9.3,Web Frontend,Type-safe web frontend,6,13
FastAPI,Framework,0.115.0+,Backend,REST API framework for all three Python servers,2,14
Next.js,Framework,16.2.1,Web Frontend,React metaframework with SSR and API routes,6,13
React,Library,19.2.4,Web Frontend,UI component model,6,13
SwiftUI,Framework,macOS 14+,Native macOS,Declarative UI for notch overlay and chat,4,5
AppKit,Framework,macOS 14+,Native macOS,macOS window management and system integration,4,5
Anthropic Claude API,API,claude-sonnet-4-20250514,AI/Intelligence,Chat agent with tool use loop and all analysis passes,1,10
Google OAuth 2.0,Auth,—,Auth,User authentication and API token acquisition,3,2
Gmail API,API,—,Data Ingestion,Fetch sent/received emails for identity pipeline,3,11
Google Calendar API,API,—,Data Ingestion,Fetch events (90d past + 30d future),3,11
Firebase Auth,Auth,12.11.0 (JS) / 6.0.0 (Admin),Auth,Web Google sign-in and session management,5,6
Firebase Firestore,Database,12.11.0 (JS) / 6.0.0 (Admin),Persistence,User profiles and chat history storage,5,6
Auth0,Auth,—,Auth,Secondary OAuth provider for macOS native PKCE flow,9,8
Tavily API,API,0.3.0+,Data Ingestion,Web search enrichment for public profiles,8,16
DynamicNotchKit,Library,main branch,Native macOS,Expanding notch panel UI component,7,5
Tailwind CSS,Styling,4.2.2,Web Frontend,Utility-first CSS framework,12,15
motion (Framer Motion),Library,12.38.0,Web Frontend,Page transitions and micro-interactions,21,23
uvicorn,Server,0.30.0+,Backend,ASGI server running all FastAPI processes,18,22
Pydantic,Library,—,Backend,Request/response data validation,16,18
BeautifulSoup4,Library,—,Backend,HTML-to-plaintext email cleaning,17,17
browser-use,Automation,0.1.0+,Agent Server,Chromium browser automation for desktop agent,10,4
cdp-use,Automation,—,Agent Server,Chrome DevTools Protocol automation,10,4
pyautogui,Automation,0.9.54+,Agent Server,Desktop click/type/scroll automation,11,9
pyobjc-framework-Quartz,Library,10.0+,Agent Server,macOS screen capture via Quartz API,11,9
Pillow,Library,10.0.0+,Agent Server,Screenshot image processing,20,19
cryptography,Library,41.0.0+,Agent Server,Cookie encryption/decryption,20,20
httpx,Library,—,Backend,Async HTTP client,16,22
requests,Library,—,Backend,Sync HTTP client,16,22
PyJWT,Library,—,Backend,JWT token parsing and validation,16,18
python-dotenv,Library,1.0.0+,Backend,Environment variable loading from .env files,16,22
filelock,Library,—,Backend,Thread-safe concurrent file writes for episodic memory,19,21
anthropic SDK,SDK,0.76.0+,AI/Intelligence,Python SDK for Claude API calls,1,10
claude-agent-sdk,SDK,—,AI/Intelligence,MCP server integration for tool use,1,10
firebase (JS),SDK,12.11.0,Web Frontend,Client-side Firebase Auth and Firestore,5,6
firebase-admin (Python),SDK,6.0.0+,Backend,Server-side Firebase token verification and Firestore,5,6
google-api-python-client,SDK,2.100.0+,Backend,Google APIs (Gmail + Calendar),3,11
google-auth,SDK,2.23.0+,Backend,Google OAuth token management,3,2
google-auth-oauthlib,SDK,—,Backend,OAuth 2.0 browser consent flow,3,2
google-auth-httplib2,SDK,—,Backend,HTTP transport for Google auth,3,2
Swift Package Manager,Build Tool,—,Native macOS,Swift dependency resolution and compilation,4,5
GitHub Actions,CI/CD,—,Distribution,Automated build + sign + notarize + release pipeline,13,12
Vercel,Deployment,—,Distribution,Next.js web app hosting and deployment,6,15
pkgbuild / productbuild,Build Tool,—,Distribution,macOS .pkg installer creation,14,1
codesign / productsign,Build Tool,—,Distribution,Apple code signing with Developer ID certificates,14,1
xcrun notarytool,Build Tool,—,Distribution,Apple notarization for malware scanning,14,1
python-build-standalone,Runtime,3.11.11,Distribution,Vendored Python runtime bundled in .pkg installer,15,7
LaunchAgents (launchd),System,—,Distribution,Auto-start orchestrator and agent-server on login,14,3
pytest,Testing,8.0.0+,Testing,Python test framework (430+ tests),23,20
pytest-asyncio,Testing,0.24.0+,Testing,Async test support for FastAPI endpoints,23,20
ESLint,Linting,9.39.4,Web Frontend,JavaScript/TypeScript code quality,23,20
PostCSS,Build Tool,8.5.8,Web Frontend,CSS processing pipeline for Tailwind,12,22
agentation,Dev Tool,3.0.2,Web Frontend,AI design feedback toolbar,22,23
ElevenLabs,API,—,Voice,Speech-to-text / voice synthesis (referenced),24,20
Chrome (headless CDP),Runtime,—,Agent Server,Browser instance controlled by agent for web tasks,10,4
http.server (stdlib),Server,—,Agent Server,Lightweight threaded HTTP server (no framework),11,22
